Date,股票代码,Open,Close,High,Low,Volume,Amount,振幅,涨跌幅,涨跌额,换手率
2025-03-27,301535,30.0,24.06,32.0,23.74,481742,1306825201.0,167.89,389.02,19.14,80.42
2025-03-28,301535,25.25,22.65,26.56,22.43,407170,1002086428.0,17.17,-5.86,-1.41,67.97
2025-03-31,301535,23.6,24.6,29.95,21.6,458285,1136632096.0,36.87,8.61,1.95,76.51
2025-04-01,301535,23.0,23.16,24.25,21.78,354048,804144788.0,10.04,-5.85,-1.44,59.11
2025-04-02,301535,22.25,22.47,22.99,21.88,264675,591363753.0,4.79,-2.98,-0.69,44.19
2025-04-03,301535,22.17,23.55,25.43,21.11,320849,742098763.0,19.23,4.81,1.08,53.56
2025-04-07,301535,21.63,18.84,21.9,18.84,222860,444153527.0,12.99,-20.0,-4.71,37.2
2025-04-08,301535,18.16,17.55,18.99,16.95,257171,459678492.0,10.83,-6.85,-1.29,42.93
2025-04-09,301535,17.8,18.14,18.5,16.32,228072,402985727.0,12.42,3.36,0.59,38.07
2025-04-10,301535,18.17,18.2,19.34,18.16,206411,384728901.0,6.5,0.33,0.06,34.46
2025-04-11,301535,17.78,17.98,18.48,17.78,136328,248213714.0,3.85,-1.21,-0.22,22.76
2025-04-14,301535,18.44,19.18,19.58,18.36,183305,347258705.0,6.79,6.67,1.2,30.6
2025-04-15,301535,19.52,19.77,19.86,19.01,195224,379205420.0,4.43,3.08,0.59,32.59
2025-04-16,301535,19.42,20.1,20.1,18.92,203980,399269844.0,5.97,1.67,0.33,34.05
2025-04-17,301535,19.75,19.62,20.5,19.61,140119,279667969.0,4.43,-2.39,-0.48,23.39
2025-04-18,301535,19.4,19.27,19.88,18.76,135466,260980163.0,5.71,-1.78,-0.35,22.61
2025-04-21,301535,19.29,18.97,19.6,18.85,142216,272407822.0,3.89,-1.56,-0.3,23.74
2025-04-22,301535,19.04,19.16,19.63,18.34,153064,291468222.0,6.8,1.0,0.19,25.55
2025-04-23,301535,19.05,19.03,19.58,18.96,125734,241749212.0,3.24,-0.68,-0.13,20.99
2025-04-24,301535,18.8,17.75,18.89,17.74,136360,247747054.0,6.04,-6.73,-1.28,22.76
2025-04-25,301535,17.99,20.9,21.3,17.99,352401,720267979.0,18.65,17.75,3.15,58.83
2025-04-28,301535,19.4,18.41,19.5,18.37,261031,491988120.0,5.41,-11.91,-2.49,43.58
2025-04-29,301535,18.5,18.34,18.9,18.26,161952,300378277.0,3.48,-0.38,-0.07,27.04
2025-04-30,301535,18.42,18.49,18.65,18.26,117522,216701205.0,2.13,0.82,0.15,19.62
2025-05-06,301535,18.68,19.77,19.86,18.6,196509,382196579.0,6.81,6.92,1.28,32.81
2025-05-07,301535,20.01,20.16,21.0,19.81,193375,392547608.0,6.02,1.97,0.39,32.28
2025-05-08,301535,20.16,20.37,20.86,20.16,121254,247768178.0,3.47,1.04,0.21,20.24
2025-05-09,301535,20.2,19.65,20.33,19.6,81029,160512345.0,3.58,-3.53,-0.72,13.53
2025-05-12,301535,19.94,20.27,20.45,19.85,89074,179760568.0,3.05,3.16,0.62,14.87
2025-05-13,301535,20.3,19.9,20.47,19.81,74192,148655378.0,3.26,-1.83,-0.37,12.39
2025-05-14,301535,19.94,19.9,20.31,19.67,66978,133203691.0,3.22,0.0,0.0,11.18
2025-05-15,301535,19.89,20.97,22.32,19.4,217217,449165951.0,14.67,5.38,1.07,36.26
2025-05-16,301535,20.7,21.52,21.88,20.56,215532,459755963.0,6.29,2.62,0.55,35.98
2025-05-19,301535,21.4,21.35,21.51,20.65,135868,286512265.0,4.0,-0.79,-0.17,22.68
2025-05-20,301535,21.35,22.12,22.5,21.04,189787,412153223.0,6.84,3.61,0.77,31.68
2025-05-21,301535,21.87,22.88,24.98,21.51,252611,578975712.0,15.69,3.44,0.76,42.17
2025-05-22,301535,22.15,21.2,22.83,21.08,196546,429424801.0,7.65,-7.34,-1.68,32.81
2025-05-23,301535,21.42,20.67,21.53,20.66,131383,276130433.0,4.1,-2.5,-0.53,21.93
2025-05-26,301535,20.67,20.8,21.08,20.44,90096,186804166.0,3.1,0.63,0.13,15.04
